CH No,Name,Frequency,Dup,Offset,Tone,Repeater Tone,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip
1,Bcn A D31: Data 430.800,430.8,,0,,88.5Hz,88.5,23,NN,FM,5,
2,Bcn B D40: Data 439.800,439.8,,0,,88.5Hz,88.5,23,NN,FM,5,
3,Hill A D33: Data 430.850,430.85,,0,,88.5Hz,88.5,23,NN,FM,5,
4,Hill B D50: Data 440.850,440.85,,0,,88.5Hz,88.5,23,NN,FM,5,
5,Cap A D37: Data 430.950,430.95,,0,,88.5Hz,88.5,23,NN,FM,5,
6,Cap B D46: Data 439.950,439.95,,0,,88.5Hz,88.5,23,NN,FM,5,
7,Magnol D34: Data 430.875,430.875,,0,,88.5Hz,88.5,23,NN,FM,5,
8,BroadV D47: Data 439.975,439.975,,0,,88.5Hz,88.5,23,NN,FM,5,
9,QueenA D07: Data 144.970,144.97,,0,,88.5Hz,88.5,23,NN,FM,5,
10,Ballard D07: Data 144.970,144.97,,0,,88.5Hz,88.5,23,NN,FM,5,
11,QueenA D60: Data 52.600,52.6,,0,,88.5Hz,88.5,23,NN,FM,5,
12,Hill D04: Data 144.910,144.91,,0,,88.5Hz,88.5,23,NN,FM,5,
13,K7XTN-10 D05: Data 144.930,144.93,,0,,88.5Hz,88.5,23,NN,FM,5,
14,W7MIR-10 D11: Data 145.030,145.03,,0,,88.5Hz,88.5,23,NN,FM,5,
15,K7NHV-10 D12: Data 145.050,145.05,,0,,88.5Hz,88.5,23,NN,FM,5,
16,W7VMI-10 D13: Data 145.070,145.07,,0,,88.5Hz,88.5,23,NN,FM,5,
17,W7AUX-11 D23: Data 145.650,145.65,,0,,88.5Hz,88.5,23,NN,FM,5,
18,W7MIR-11 D32: Data 430.825,430.825,,0,,88.5Hz,88.5,23,NN,FM,5,
19,NC7G-10 D41: Data 439.825,439.825,,0,,88.5Hz,88.5,23,NN,FM,5,
20,W7AW-10 D42: Data 439.850,439.85,,0,,88.5Hz,88.5,23,NN,FM,5,
21,WA7AUB-10 D52: Data 440.900,440.9,,0,,88.5Hz,88.5,23,NN,FM,5,
22,NK7Y D56: Data 440.850,440.85,,0,,88.5Hz,88.5,23,NN,FM,5,
23,NK7Y D97: Data 223.580,223.58,,0,,88.5Hz,88.5,23,NN,FM,5,
